,Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size
0,-0.33,RO,D,IF,EX,EX,EX,None,1.01-1.09
1,-0.35,RO,E,IF,EX,EX,EX,None,1.01-1.09
2,-0.34,RO,F,IF,EX,EX,EX,None,1.01-1.09
3,-0.35,RO,G,IF,EX,EX,EX,None,1.01-1.09
4,-0.36,RO,H,IF,EX,EX,EX,None,1.01-1.09
5,-0.36,RO,I,IF,EX,EX,EX,None,1.01-1.09
6,-0.34,RO,J,IF,EX,EX,EX,None,1.01-1.09
7,-0.34,RO,K,IF,EX,EX,EX,None,1.01-1.09
8,-0.33,RO,L,IF,EX,EX,EX,None,1.01-1.09
9,-0.32,RO,M,IF,EX,EX,EX,None,1.01-1.09
10,-0.33,RO,D,VVS1,EX,EX,EX,None,1.01-1.09
11,-0.36,RO,E,VVS1,EX,EX,EX,None,1.01-1.09
12,-0.35,RO,F,VVS1,EX,EX,EX,None,1.01-1.09
13,-0.36,RO,G,VVS1,EX,EX,EX,None,1.01-1.09
14,-0.35,RO,H,VVS1,EX,EX,EX,None,1.01-1.09
15,-0.35,RO,I,VVS1,EX,EX,EX,None,1.01-1.09
16,-0.33,RO,J,VVS1,EX,EX,EX,None,1.01-1.09
17,-0.32,RO,K,VVS1,EX,EX,EX,None,1.01-1.09
18,-0.32,RO,L,VVS1,EX,EX,EX,None,1.01-1.09
19,-0.32,RO,M,VVS1,EX,EX,EX,None,1.01-1.09
20,-0.35,RO,D,VVS2,EX,EX,EX,None,1.01-1.09
21,-0.37,RO,E,VVS2,EX,EX,EX,None,1.01-1.09
22,-0.35,RO,F,VVS2,EX,EX,EX,None,1.01-1.09
23,-0.37,RO,G,VVS2,EX,EX,EX,None,1.01-1.09
24,-0.36,RO,H,VVS2,EX,EX,EX,None,1.01-1.09
25,-0.34,RO,I,VVS2,EX,EX,EX,None,1.01-1.09
26,-0.35,RO,J,VVS2,EX,EX,EX,None,1.01-1.09
27,-0.31,RO,K,VVS2,EX,EX,EX,None,1.01-1.09
28,-0.33,RO,L,VVS2,EX,EX,EX,None,1.01-1.09
29,-0.32,RO,M,VVS2,EX,EX,EX,None,1.01-1.09
30,-0.39,RO,D,VS1,EX,EX,EX,None,1.01-1.09
31,-0.39,RO,E,VS1,EX,EX,EX,None,1.01-1.09
32,-0.38,RO,F,VS1,EX,EX,EX,None,1.01-1.09
33,-0.37,RO,G,VS1,EX,EX,EX,None,1.01-1.09
34,-0.36,RO,H,VS1,EX,EX,EX,None,1.01-1.09
35,-0.35,RO,I,VS1,EX,EX,EX,None,1.01-1.09
36,-0.35,RO,J,VS1,EX,EX,EX,None,1.01-1.09
37,-0.34,RO,K,VS1,EX,EX,EX,None,1.01-1.09
38,-0.33,RO,L,VS1,EX,EX,EX,None,1.01-1.09
39,-0.33,RO,M,VS1,EX,EX,EX,None,1.01-1.09
40,-0.38,RO,D,VS2,EX,EX,EX,None,1.01-1.09
41,-0.39,RO,E,VS2,EX,EX,EX,None,1.01-1.09
42,-0.38,RO,F,VS2,EX,EX,EX,None,1.01-1.09
43,-0.38,RO,G,VS2,EX,EX,EX,None,1.01-1.09
44,-0.37,RO,H,VS2,EX,EX,EX,None,1.01-1.09
45,-0.35,RO,I,VS2,EX,EX,EX,None,1.01-1.09
46,-0.35,RO,J,VS2,EX,EX,EX,None,1.01-1.09
47,-0.34,RO,K,VS2,EX,EX,EX,None,1.01-1.09
48,-0.34,RO,L,VS2,EX,EX,EX,None,1.01-1.09
49,-0.33,RO,M,VS2,EX,EX,EX,None,1.01-1.09
50,-0.37,RO,D,SI1,EX,EX,EX,None,1.01-1.09
51,-0.36,RO,E,SI1,EX,EX,EX,None,1.01-1.09
52,-0.36,RO,F,SI1,EX,EX,EX,None,1.01-1.09
53,-0.35,RO,G,SI1,EX,EX,EX,None,1.01-1.09
54,-0.36,RO,H,SI1,EX,EX,EX,None,1.01-1.09
55,-0.35,RO,I,SI1,EX,EX,EX,None,1.01-1.09
56,-0.34,RO,J,SI1,EX,EX,EX,None,1.01-1.09
57,-0.33,RO,K,SI1,EX,EX,EX,None,1.01-1.09
58,-0.31,RO,L,SI1,EX,EX,EX,None,1.01-1.09
