,BGM,BGM Type,1,2,3,4,5,6,7,8,9
0,Brown,B1,-6,-6.0,-5.0,-6.0,-6.0,-4.0,-4.0,-3.0,-3.0
1,Brown,B2,-11,-11.0,-9.0,-10.0,-11.0,-9.0,-9.0,-8.0,-8.0
2,Brown,B3,-15,-15.0,-13.0,-14.0,-15.0,-13.0,-12.0,-12.0,-12.0
3,Green,G1,-6,-6.0,-5.0,-6.0,-6.0,-4.0,-4.0,-3.0,-3.0
4,Green,G2,-11,-11.0,-9.0,-10.0,-11.0,-9.0,-9.0,-8.0,-8.0
5,Green,G3,-17.5,-17.5,-15.5,-16.0,-17.5,-15.5,-15.0,-14.5,-14.5
6,Mixed Tinge,MT1,-5,-5.0,-4.0,-5.0,-5.0,-3.0,-3.0,-2.0,-2.0
7,Mixed Tinge,MT2,-10,-10.0,-8.0,-9.0,-10.0,-8.0,-8.0,-7.0,-7.0
8,Mixed Tinge,MT3,-16.5,-16.5,-14.5,-15.0,-16.5,-14.5,-14.0,-13.5,-13.5
9,Milky,M1+,-4,-4.0,-4.0,-4.5,-4.5,-4.5,-4.0,-4.0,-4.0
10,Milky,M1,-10,-10.0,-10.0,-11.0,-11.0,-11.0,-10.0,-10.0,-10.0
11,Milky,M2,-17,-17.0,-17.0,-17.0,-17.0,-14.0,-14.0,-14.0,-14.0
12,Milky,M3,-23.5,-23.5,-22.5,-23.5,-23.5,-21.5,-21.5,-21.5,-20.0
