BGM,BGM Type,1,2,3,4,5,6,7,8,9
Brown,B1,-8,-8.0,-7.0,-8.0,-8.0,-6.0,-6.0,-5.0,-5.0
Brown,B2,-13,-13.0,-11.0,-12.0,-13.0,-11.0,-11.0,-10.0,-10.0
Brown,B3,-19.5,-19.5,-17.5,-18.0,-19.5,-17.5,-17.0,-16.5,-16.5
Green,G1,-8,-8.0,-7.0,-8.0,-8.0,-6.0,-6.0,-5.0,-5.0
Green,G2,-13,-13.0,-11.0,-12.0,-13.0,-11.0,-11.0,-10.0,-10.0
Green,G3,-19.5,-19.5,-17.5,-18.0,-19.5,-17.5,-17.0,-16.5,-16.5
Mixed Tinge,MT1,-7,-7.0,-6.0,-7.0,-7.0,-5.0,-5.0,-4.0,-4.0
Mixed Tinge,MT2,-13,-13.0,-11.0,-12.0,-13.0,-11.0,-11.0,-10.0,-10.0
Mixed Tinge,MT3,-18.5,-18.5,-16.5,-17.0,-18.5,-16.5,-16.0,-15.5,-15.5
Milky,M1+,-5,-5.0,-5.0,-5.0,-5.0,-4.0,-4.0,-4.0,-3.5
Milky,M1,-12,-12.0,-12.0,-12.0,-12.0,-10.0,-10.0,-10.0,-9.0
Milky,M2,-18,-18.0,-18.0,-18.0,-18.0,-14.0,-14.0,-14.0,-13.0
Milky,M3,-23.5,-23.5,-22.5,-23.5,-23.5,-20.5,-20.5,-20.5,-18.5
