,BGM,BGM Type,1,2,3,4,5,6,7,8,9
0,Brown,B1,-4,-4.0,-3.0,-4.0,-4.0,-2.0,-2.0,-1.0,-1.0
1,Brown,B2,-8,-8.0,-6.0,-7.0,-8.0,-6.0,-6.0,-5.0,-5.0
2,Brown,B3,-13,-13.0,-11.0,-12.0,-13.0,-11.0,-10.0,-10.0,-10.0
3,Green,G1,-4,-4.0,-3.0,-4.0,-4.0,-2.0,-2.0,-1.0,-1.0
4,Green,G2,-8,-8.0,-6.0,-7.0,-8.0,-6.0,-6.0,-5.0,-5.0
5,Green,G3,-13,-13.0,-11.0,-12.0,-13.0,-11.0,-10.0,-10.0,-10.0
6,Grey,MT1,-3,-3.0,-2.0,-3.0,-3.0,-1.0,-1.0,0.0,0.0
7,Grey,MT2,-7,-7.0,-5.0,-6.0,-7.0,-5.0,-5.0,-4.0,-4.0
8,Grey,MT3,-12,-12.0,-10.0,-11.0,-12.0,-10.0,-9.0,-9.0,-9.0
9,Milky,M1+,-2,-2.0,-2.0,-2.5,-2.5,-2.5,-2.0,-2.0,-2.0
10,Milky,M1,-8,-8.0,-8.0,-9.0,-9.0,-9.0,-8.0,-8.0,-8.0
11,Milky,M2,-15,-15.0,-15.0,-15.0,-15.0,-12.0,-12.0,-12.0,-12.0
12,Milky,M3,-21.5,-21.5,-20.5,-21.5,-21.5,-19.5,-19.5,-19.5,-18.0
