,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
0,IF,-37,-34,-34,-40,-42,-42,-41,-43,-38,-38,EX,EX,EX,None,0.30-0.34
1,VVS1,-34,-32,-32,-37,-40,-40,-40,-41,-37,-43,EX,EX,EX,None,0.30-0.34
2,VVS2,-35,-36,-36,-37,-39,-41,-41,-40,-37,-41,EX,EX,EX,None,0.30-0.34
3,VS1,-35,-40,-38,-37,-38,-40,-39,-38,-37,-37,EX,EX,EX,None,0.30-0.34
4,VS2,-39,-41,-39,-37,-37,-41,-39,-37,-38,-36,EX,EX,EX,None,0.30-0.34
5,SI1,-39,-42,-41,-39,-37,-38,-38,-38,-36,-34,EX,EX,EX,None,0.30-0.34
6,SI2,-39,-43,-40,-37,-37,-39,-36,-40,-38,-34,EX,EX,EX,None,0.30-0.34
7,IF,-44,-39,-39,-44,-46,-45,-44,-45,-40,-40,EX,EX,EX,Faint,0.30-0.34
8,VVS1,-41,-37,-37,-41,-44,-43,-43,-43,-39,-45,EX,EX,EX,Faint,0.30-0.34
9,VVS2,-42,-41,-41,-41,-43,-44,-44,-42,-39,-43,EX,EX,EX,Faint,0.30-0.34
10,VS1,-42,-45,-43,-41,-42,-43,-42,-40,-39,-39,EX,EX,EX,Faint,0.30-0.34
11,VS2,-46,-46,-44,-41,-41,-44,-42,-39,-40,-38,EX,EX,EX,Faint,0.30-0.34
12,SI1,-45,-46,-45,-42,-40,-40,-40,-40,-38,-36,EX,EX,EX,Faint,0.30-0.34
13,SI2,-45,-47,-44,-40,-40,-41,-38,-42,-40,-36,EX,EX,EX,Faint,0.30-0.34
14,IF,-49,-44,-43,-49,-49,-48,-47,-47,-42,-42,EX,EX,EX,Med,0.30-0.34
15,VVS1,-46,-42,-41,-46,-47,-46,-46,-45,-41,-47,EX,EX,EX,Med,0.30-0.34
16,VVS2,-47,-46,-45,-46,-46,-47,-47,-44,-41,-45,EX,EX,EX,Med,0.30-0.34
17,VS1,-45,-48,-45,-43,-44,-45,-44,-41,-40,-40,EX,EX,EX,Med,0.30-0.34
