Finishing,,,,,,,,,,
EX-Open-HO-Table,-2,-2,-1.5,-2,-2,-1.5,-2,-2,-1.5,RO
EX-Open-HO-Crown,-1.5,-1.5,-1,-1.5,-1.5,-1,-1,-1,-1,RO
EX-Open-HO-Girdle,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,RO
EX-Open-HO-Pavilion,-1,-1,-0.5,-1,-1,-0.5,0,0,0,RO
,,,,,,,,,,RO
EX-Open-Small-Table,-4,-4,-3,-4,-4,-3,-4,-4,-3,RO
EX-Open-Small-Crown,-3,-3,-2,-3,-3,-2,-2,-2,-1,RO
EX-Open-Small-Girdle,-2,-2,-1,-2,-2,-1,-1,-1,0,RO
EX-Open-Small-Pavilion,-1.5,-1.5,-1,-1.5,-1.5,-1,-0.5,-0.5,0,RO
,,,,,,,,,,RO
EX-Open-Medium-Table,-6,-6,-5,-6,-6,-5,-6,-6,-5,RO
EX-Open-Medium-Crown,-5,-5,-4,-5,-5,-4,-4,-4,-3,RO
EX-Open-Medium-Girdle,-4,-4,-3,-4,-4,-3,-3,-3,-2,RO
EX-Open-Medium-Pavilion,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-2.5,-2.5,-1.5,RO
,,,,,,,,,,RO
EX-Open-Big-Table,-9,-9,-8,-9,-9,-8,-9,-9,-8,RO
EX-Open-Big-Crown,-8,-8,-7,-8,-8,-7,-7,-7,-6,RO
EX-Open-Big-Girdle,-7,-7,-6,-7,-7,-6,-6,-6,-5,RO
EX-Open-Big-Pavilion,-6,-6,-5,-6,-6,-5,-5,-5,-4,RO
,,,,,,,,,,RO
,,,,,,,,,,RO
EX-Natural-Indented Natural-Top,-2,-2,-1.5,-1.5,-1.5,-1,-1,-1,-0.5,RO
EX-Natural-Indented Natural-Crown,-2,-2,-1.5,-1.5,-1.5,-1,-1,-1,-0.5,RO
EX-Natural-Indented Natural-Girdle,-1,-1,-1,-1,-1,-0.5,0,0,0,RO
EX-Natural-Indented Natural-Pavilion,-1,-1,-1,-1,-1,-0.5,0,0,0,RO
,,,,,,,,,,RO
EX-Natural-Natural-Top,-1.5,-1.5,-1,-1,-1,0,-0.5,-0.5,0,RO
EX-Natural-Natural-Top,-2,-2,-1.5,-1.5,-1.5,-0.5,-1,-1,-0.5,RO
EX-Natural-Natural-Pavilion,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,RO
EX-Natural-Natural-Pavilion,-1,-1,-1,-1,-1,-0.5,-0.5,-0.5,-0.5,RO
,,,,,,,,,,RO
EX-Natural-Big Natural-Top,-4,-4,-3.5,-3.5,-3.5,-3,-3,-3,-2.5,RO
EX-Natural-Big Natural-Pavilion,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,RO
,,,,,,,,,,RO
,,,,,,,,,,RO
EX-Others-Extra Facet-Top,-1,-1,-0.5,0,0,0,0,0,0,RO
EX-Others-Extra Facet-Crown,-0.5,-0.5,-0.5,0,0,0,0,0,0,RO
EX-Others-Extra Facet-Girdle,0,0,0,0,0,0,0,0,0,RO
EX-Others-Extra Facet-Pavilion,-0.5,-0.5,-0.5,0,0,0,0,0,0,RO
,,,,,,,,,,RO
EX-Others-Cavity-Top,-4,-4,-3,-4,-4,-3,-3,-3,-2,RO
EX-Others-Cavity-Crown,-3,-3,-2,-3,-3,-2,-2,-2,-1,RO
EX-Others-Cavity-Girdle,-2,-2,-1,-2,-2,-1,-1,-1,-1,RO
EX-Others-Cavity-Pavilion,-3,-3,-2,-3,-3,-2,-2,-2,-1,RO
,,,,,,,,,,RO
EX-Others-Chip-Top,-1,-1,-1,-1,-1,-0.5,-1,-1,0,RO
EX-Others-Chip-Crown,-1,-1,-1,-1,-1,0,-0.5,-0.5,0,RO
EX-Others-Chip-Girdle,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,0,0,RO
EX-Others-Chip-Pavilion,-1,-1,-1,-1,-1,0,-0.5,-0.5,0,RO
VG-Open-HO-Table,-2,-2,-1.5,-2,-2,-1.5,-2,-2,-1.5,RO
VG-Open-HO-Crown,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,RO
VG-Open-HO-Girdle,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,RO
VG-Open-HO-Pavilion,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,RO
,,,,,,,,,,RO
VG-Open-Small-Table,-4,-4,-3,-4,-4,-3,-4,-4,-3,RO
VG-Open-Small-Crown,-3,-3,-2,-3,-3,-2,-3,-3,-2,RO
VG-Open-Small-Girdle,-2,-2,-1,-2,-2,-1,-2,-2,-1,RO
VG-Open-Small-Pavilion,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,RO
,,,,,,,,,,RO
VG-Open-Medium-Table,-6,-6,-5,-6,-6,-5,-6,-6,-5,RO
VG-Open-Medium-Crown,-5,-5,-4,-5,-5,-4,-5,-5,-4,RO
VG-Open-Medium-Girdle,-4,-4,-3,-4,-4,-3,-4,-4,-3,RO
VG-Open-Medium-Pavilion,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,RO
,,,,,,,,,,RO
VG-Open-Big-Table,-9,-9,-8,-9,-9,-8,-9,-9,-8,RO
VG-Open-Big-Crown,-8,-8,-7,-8,-8,-7,-8,-8,-7,RO
VG-Open-Big-Girdle,-7,-7,-6,-7,-7,-6,-7,-7,-6,RO
VG-Open-Big-Pavilion,-6,-6,-5,-6,-6,-5,-6,-6,-5,RO
,,,,,,,,,,RO
,,,,,,,,,,RO
VG-Natural-Indented Natural-Top,-2,-2,-1.5,-1.5,-1.5,-1,-1,-1,-0.5,RO
VG-Natural-Indented Natural-Crown,-1,-1,-1,-1,-1,-0.5,0,0,0,RO
VG-Natural-Indented Natural-Girdle,-1,-1,-1,-1,-1,-0.5,0,0,0,RO
VG-Natural-Indented Natural-Pavilion,-1,-1,-1,-1,-1,-0.5,0,0,0,RO
