open,1,2,3,4,5,6,7,8,9,Cut,Shape,Polish,Symmetry
OHT,-2,-2,-1.5,-2,-2,-1.5,-2,-2,-1.5,EX,RO,,
OHC,-1.5,-1.5,-1,-1.5,-1.5,-1,-1,-1,-1,EX,RO,,
OHG,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,EX,RO,,
OHP,-1,-1,-0.5,-1,-1,-0.5,0,0,0,EX,RO,,
,,,,,,,,,,EX,RO,,
OT1,-4,-4,-3,-4,-4,-3,-4,-4,-3,EX,RO,,
OC1,-3,-3,-2,-3,-3,-2,-2,-2,-1,EX,RO,,
OG1,-2,-2,-1,-2,-2,-1,-1,-1,0,EX,RO,,
OP1,-1.5,-1.5,-1,-1.5,-1.5,-1,-0.5,-0.5,0,EX,RO,,
,,,,,,,,,,EX,RO,,
OT2,-6,-6,-5,-6,-6,-5,-6,-6,-5,EX,RO,,
OC2,-5,-5,-4,-5,-5,-4,-4,-4,-3,EX,RO,,
OG2,-4,-4,-3,-4,-4,-3,-3,-3,-2,EX,RO,,
OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-2.5,-2.5,-1.5,EX,RO,,
,,,,,,,,,,EX,RO,,
OT3,-9,-9,-8,-9,-9,-8,-9,-9,-8,EX,RO,,
OC3,-8,-8,-7,-8,-8,-7,-7,-7,-6,EX,RO,,
OG3,-7,-7,-6,-7,-7,-6,-6,-6,-5,EX,RO,,
OP3,-6,-6,-5,-6,-6,-5,-5,-5,-4,EX,RO,,
OHT,-2,-2,-1.5,-2,-2,-1.5,-2,-2,-1.5,VG,RO,,
OHC,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,VG,RO,,
OHG,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,VG,RO,,
OHP,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,VG,RO,,
,,,,,,,,,,VG,RO,,
OT1,-4,-4,-3,-4,-4,-3,-4,-4,-3,VG,RO,,
OC1,-3,-3,-2,-3,-3,-2,-3,-3,-2,VG,RO,,
OG1,-2,-2,-1,-2,-2,-1,-2,-2,-1,VG,RO,,
OP1,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,VG,RO,,
,,,,,,,,,,VG,RO,,
OT2,-6,-6,-5,-6,-6,-5,-6,-6,-5,VG,RO,,
OC2,-5,-5,-4,-5,-5,-4,-5,-5,-4,VG,RO,,
OG2,-4,-4,-3,-4,-4,-3,-4,-4,-3,VG,RO,,
OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,VG,RO,,
,,,,,,,,,,VG,RO,,
OT3,-9,-9,-8,-9,-9,-8,-9,-9,-8,VG,RO,,
OC3,-8,-8,-7,-8,-8,-7,-8,-8,-7,VG,RO,,
