value,Place,1,2,3,4,5,6,7,8,9,Cut
HO,Table,-2,-2,-1.5,-2,-2,-1.5,-2,-2,-1.5,EX
HO,Crown,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,EX
HO,Girdle,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,EX
HO,Pavilion,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,EX
Small,Table,-4,-4,-3,-4,-4,-3,-4,-4,-3,EX
Small,Crown,-3,-3,-2,-3,-3,-2,-3,-3,-2,EX
Small,Girdle,-2,-2,-1,-2,-2,-1,-2,-2,-1,EX
Small,Pavilion,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,EX
Medium,Table,-6,-6,-5,-6,-6,-5,-6,-6,-5,EX
Medium,Crown,-5,-5,-4,-5,-5,-4,-5,-5,-4,EX
Medium,Girdle,-4,-4,-3,-4,-4,-3,-4,-4,-3,EX
Medium,Pavilion,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,EX
Big,Table,-9,-9,-8,-9,-9,-8,-9,-9,-8,EX
Big,Crown,-8,-8,-7,-8,-8,-7,-8,-8,-7,EX
Big,Girdle,-7,-7,-6,-7,-7,-6,-7,-7,-6,EX
Big,Pavilion,-6,-6,-5,-6,-6,-5,-6,-6,-5,EX
Indented Natural,Top,-2,-2,-1.5,-1.5,-1.5,-1,0,0,0,EX
Indented Natural,Girdle,-1,-1,-1,-1,-1,-0.5,0,0,0,EX
Indented Natural,Bottom,-1,-1,-1,-1,-1,-0.5,0,0,0,EX
Natural,Top,-1.5,-1.5,-1,-1,-1,0,-0.5,-0.5,0,EX
Natural,Girdle,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,EX
Natural,Bottom,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,EX
Big Natural,Top,-4,-4,-3.5,-3.5,-3.5,-3,-2,-2,-2,EX
Big Natural,Girdle,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,EX
Big Natural,Bottom,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,EX
Extra Facet,Top,-1,-1,-0.5,-0.5,-0.5,0,0,0,0,EX
Extra Facet,Girdle,0,0,0,0,0,0,0,0,0,EX
Extra Facet,Bottom,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,EX
Cavity,Top,-4,-4,-3,-4,-4,-3,-3,-3,-2,EX
Cavity,Girdle,-3,-3,-2,-3,-3,-2,-2,-2,-1,EX
Cavity,Bottom,-2,-2,-1,-2,-2,-1,-1,-1,-1,EX
Chip,Top,-1,-1,-1,-1,-1,-0.5,-1,-1,0,EX
Chip,Girdle,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,EX
Chip,Bottom,-1,-1,-1,-1,-1,0,-0.5,-0.5,0,EX
HO,Table,-2,-2,-1.5,-2,-2,-1.5,-2,-2,-1.5,VG
HO,Crown,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,VG
HO,Girdle,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,VG
HO,Pavilion,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,VG
Small,Table,-4,-4,-3,-4,-4,-3,-4,-4,-3,VG
Small,Crown,-3,-3,-2,-3,-3,-2,-3,-3,-2,VG
Small,Girdle,-2,-2,-1,-2,-2,-1,-2,-2,-1,VG
Small,Pavilion,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,VG
Medium,Table,-6,-6,-5,-6,-6,-5,-6,-6,-5,VG
Medium,Crown,-5,-5,-4,-5,-5,-4,-5,-5,-4,VG
Medium,Girdle,-4,-4,-3,-4,-4,-3,-4,-4,-3,VG
Medium,Pavilion,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,VG
Big,Table,-9,-9,-8,-9,-9,-8,-9,-9,-8,VG
Big,Crown,-8,-8,-7,-8,-8,-7,-8,-8,-7,VG
Big,Girdle,-7,-7,-6,-7,-7,-6,-7,-7,-6,VG
Big,Pavilion,-6,-6,-5,-6,-6,-5,-6,-6,-5,VG
Indented Natural,Top,-2,-2,-1.5,-1.5,-1.5,-1,0,0,0,VG
Indented Natural,Girdle,-1,-1,-1,-1,-1,-0.5,0,0,0,VG
Indented Natural,Bottom,-1,-1,-1,-1,-1,-0.5,0,0,0,VG
Natural,Top,-1.5,-1.5,-1,-1,-1,0,-0.5,-0.5,0,VG
Natural,Girdle,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,VG
Natural,Bottom,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,VG
Big Natural,Top,-4,-4,-3.5,-3.5,-3.5,-3,-2,-2,-2,VG
Big Natural,Girdle,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,VG
Big Natural,Bottom,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,VG
Extra Facet,Top,-1,-1,-0.5,-0.5,-0.5,0,0,0,0,VG
Extra Facet,Girdle,0,0,0,0,0,0,0,0,0,VG
Extra Facet,Bottom,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,VG
Cavity,Top,-4,-4,-3,-4,-4,-3,-3,-3,-2,VG
Cavity,Girdle,-3,-3,-2,-3,-3,-2,-2,-2,-1,VG
Cavity,Bottom,-2,-2,-1,-2,-2,-1,-1,-1,-1,VG
Chip,Top,-1,-1,-1,-1,-1,-0.5,-1,-1,0,VG
Chip,Girdle,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,VG
Chip,Bottom,-1,-1,-1,-1,-1,0,-0.5,-0.5,0,VG
