Grade,what,1,2,3,4,5,6,7,8,9,Shape
Upgrade,0.5 Color,0.0%,0.0%,1.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,RO
Upgrade,1 Color,0.5%,1.0%,1.5%,0.5%,0.5%,1.0%,0.0%,0.0%,0.5%,RO
Upgrade,1.5 Color,1.0%,1.5%,2.0%,1.0%,1.0%,1.5%,0.5%,0.5%,1.0%,RO
Upgrade,2 Color,1.5%,2.0%,2.5%,1.5%,1.5%,2.0%,1.0%,1.0%,1.5%,RO
Upgrade,2.5 Color,2.5%,3.0%,3.5%,2.5%,2.5%,3.0%,2.0%,2.0%,2.5%,RO
Upgrade,0.5 Clarity,0.0%,0.0%,0.0%,0.5%,0.5%,0.0%,1.0%,1.0%,0.5%,RO
Upgrade,1 Clarity,0.5%,0.5%,0.5%,1.0%,1.0%,0.5%,1.5%,1.5%,1.0%,RO
Upgrade,1.5 Clarity,1.0%,1.0%,1.0%,1.5%,1.5%,1.0%,2.0%,2.0%,1.5%,RO
Upgrade,2 Clarity,1.5%,1.5%,1.5%,2.0%,2.0%,1.5%,2.5%,2.5%,2.0%,RO
Upgrade,2.5 Clarity,2.0%,2.0%,2.0%,3.0%,3.0%,2.0%,3.0%,3.0%,2.5%,RO
Downgrade,0.5 Color,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,RO
Downgrade,1 Color,-0.5%,-1.0%,-1.5%,-0.5%,-0.5%,-1.0%,0.0%,0.0%,-0.5%,RO
Downgrade,1.5 Color,-1.0%,-1.5%,-2.5%,-1.0%,-1.0%,-2.0%,-0.5%,-0.5%,-1.0%,RO
Downgrade,2 Color,-1.5%,-2.0%,-3.0%,-1.5%,-1.5%,-2.5%,-1.0%,-1.0%,-1.5%,RO
Downgrade,2.5 Color,-2.5%,-3.0%,-3.0%,-2.5%,-2.5%,-2.5%,-2.0%,-2.0%,-2.5%,RO
Downgrade,0.5 Clarity,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,RO
Downgrade,1 Clarity,-0.5%,-0.5%,-0.5%,-1.0%,-1.0%,-0.5%,-1.5%,-1.5%,-1.0%,RO
Downgrade,1.5 Clarity,-1.0%,-1.0%,-1.0%,-1.5%,-1.5%,-1.0%,-2.0%,-2.0%,-1.5%,RO
Downgrade,2 Clarity,-1.5%,-1.5%,-1.5%,-2.0%,-2.0%,-1.5%,-2.5%,-2.5%,-2.0%,RO
Downgrade,2.5 Clarity,-2.0%,-2.0%,-2.0%,-3.0%,-3.0%,-2.0%,-3.0%,-3.0%,-2.5%,RO
Upgrade,0.5 Color,0.0%,0.0%,1.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,Fancy
Upgrade,1 Color,0.5%,1.0%,1.5%,0.5%,0.5%,1.0%,0.0%,0.0%,0.5%,Fancy
Upgrade,1.5 Color,1.0%,1.5%,2.0%,1.0%,1.0%,1.5%,0.5%,0.5%,1.0%,Fancy
Upgrade,2 Color,1.5%,2.0%,2.5%,1.5%,1.5%,2.0%,1.0%,1.0%,1.5%,Fancy
Upgrade,2.5 Color,2.5%,3.0%,3.5%,2.5%,2.5%,3.0%,2.0%,2.0%,2.5%,Fancy
Upgrade,0.5 Clarity,0.0%,0.0%,0.0%,0.5%,0.5%,0.0%,1.0%,1.0%,0.5%,Fancy
Upgrade,1 Clarity,0.5%,0.5%,0.5%,1.0%,1.0%,0.5%,1.5%,1.5%,1.0%,Fancy
Upgrade,1.5 Clarity,1.0%,1.0%,1.0%,1.5%,1.5%,1.0%,2.0%,2.0%,1.5%,Fancy
Upgrade,2 Clarity,1.5%,1.5%,1.5%,2.0%,2.0%,1.5%,2.5%,2.5%,2.0%,Fancy
Upgrade,2.5 Clarity,2.0%,2.0%,2.0%,3.0%,3.0%,2.0%,3.0%,3.0%,2.5%,Fancy
Downgrade,0.5 Color,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy
Downgrade,1 Color,-0.5%,-1.0%,-1.5%,-0.5%,-0.5%,-1.0%,0.0%,0.0%,-0.5%,Fancy
Downgrade,1.5 Color,-1.0%,-1.5%,-2.5%,-1.0%,-1.0%,-2.0%,-0.5%,-0.5%,-1.0%,Fancy
Downgrade,2 Color,-1.5%,-2.0%,-3.0%,-1.5%,-1.5%,-2.5%,-1.0%,-1.0%,-1.5%,Fancy
Downgrade,2.5 Color,-2.5%,-3.0%,-3.0%,-2.5%,-2.5%,-2.5%,-2.0%,-2.0%,-2.5%,Fancy
Downgrade,0.5 Clarity,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy
Downgrade,1 Clarity,-0.5%,-0.5%,-0.5%,-1.0%,-1.0%,-0.5%,-1.5%,-1.5%,-1.0%,Fancy
Downgrade,1.5 Clarity,-1.0%,-1.0%,-1.0%,-1.5%,-1.5%,-1.0%,-2.0%,-2.0%,-1.5%,Fancy
Downgrade,2 Clarity,-1.5%,-1.5%,-1.5%,-2.0%,-2.0%,-1.5%,-2.5%,-2.5%,-2.0%,Fancy
Downgrade,2.5 Clarity,-2.0%,-2.0%,-2.0%,-3.0%,-3.0%,-2.0%,-3.0%,-3.0%,-2.5%,Fancy
