Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,
-0.25,RO,D,IF,EX,EX,EX,None,1.01-1.09,
-0.27,RO,E,IF,EX,EX,EX,None,1.01-1.09,
-0.25,RO,F,IF,EX,EX,EX,None,1.01-1.09,
-0.27,RO,G,IF,EX,EX,EX,None,1.01-1.09,
-0.3,RO,H,IF,EX,EX,EX,None,1.01-1.09,
-0.26,RO,I,IF,EX,EX,EX,None,1.01-1.09,
-0.28,RO,J,IF,EX,EX,EX,None,1.01-1.09,
-0.29,RO,K,IF,EX,EX,EX,None,1.01-1.09,
-0.28,RO,L,IF,EX,EX,EX,None,1.01-1.09,
-0.28,RO,M,IF,EX,EX,EX,None,1.01-1.09,
-0.28,RO,D,VVS1,EX,EX,EX,None,1.01-1.09,
-0.26,RO,E,VVS1,EX,EX,EX,None,1.01-1.09,
-0.28,RO,F,VVS1,EX,EX,EX,None,1.01-1.09,
-0.27,RO,G,VVS1,EX,EX,EX,None,1.01-1.09,
-0.28,RO,H,VVS1,EX,EX,EX,None,1.01-1.09,
-0.25,RO,I,VVS1,EX,EX,EX,None,1.01-1.09,
-0.27,RO,J,VVS1,EX,EX,EX,None,1.01-1.09,
-0.26,RO,K,VVS1,EX,EX,EX,None,1.01-1.09,
-0.28,RO,L,VVS1,EX,EX,EX,None,1.01-1.09,
-0.33,RO,M,VVS1,EX,EX,EX,None,1.01-1.09,
-0.31,RO,D,VVS2,EX,EX,EX,None,1.01-1.09,
-0.29,RO,E,VVS2,EX,EX,EX,None,1.01-1.09,
-0.29,RO,F,VVS2,EX,EX,EX,None,1.01-1.09,
-0.28,RO,G,VVS2,EX,EX,EX,None,1.01-1.09,
-0.27,RO,H,VVS2,EX,EX,EX,None,1.01-1.09,
-0.26,RO,I,VVS2,EX,EX,EX,None,1.01-1.09,
-0.27,RO,J,VVS2,EX,EX,EX,None,1.01-1.09,
-0.28,RO,K,VVS2,EX,EX,EX,None,1.01-1.09,
-0.28,RO,L,VVS2,EX,EX,EX,None,1.01-1.09,
-0.32,RO,M,VVS2,EX,EX,EX,None,1.01-1.09,
-0.3,RO,D,VS1,EX,EX,EX,None,1.01-1.09,
-0.3,RO,E,VS1,EX,EX,EX,None,1.01-1.09,
-0.3,RO,F,VS1,EX,EX,EX,None,1.01-1.09,
-0.28,RO,G,VS1,EX,EX,EX,None,1.01-1.09,
-0.25,RO,H,VS1,EX,EX,EX,None,1.01-1.09,
-0.29,RO,I,VS1,EX,EX,EX,None,1.01-1.09,
-0.26,RO,J,VS1,EX,EX,EX,None,1.01-1.09,
-0.26,RO,K,VS1,EX,EX,EX,None,1.01-1.09,
-0.28,RO,L,VS1,EX,EX,EX,None,1.01-1.09,
-0.34,RO,M,VS1,EX,EX,EX,None,1.01-1.09,
-0.3,RO,D,VS2,EX,EX,EX,None,1.01-1.09,
-0.3,RO,E,VS2,EX,EX,EX,None,1.01-1.09,
-0.3,RO,F,VS2,EX,EX,EX,None,1.01-1.09,
-0.3,RO,G,VS2,EX,EX,EX,None,1.01-1.09,
-0.28,RO,H,VS2,EX,EX,EX,None,1.01-1.09,
-0.3,RO,I,VS2,EX,EX,EX,None,1.01-1.09,
-0.3,RO,J,VS2,EX,EX,EX,None,1.01-1.09,
-0.28,RO,K,VS2,EX,EX,EX,None,1.01-1.09,
-0.29,RO,L,VS2,EX,EX,EX,None,1.01-1.09,
-0.33,RO,M,VS2,EX,EX,EX,None,1.01-1.09,
-0.28,RO,D,SI1,EX,EX,EX,None,1.01-1.09,
-0.29,RO,E,SI1,EX,EX,EX,None,1.01-1.09,
-0.3,RO,F,SI1,EX,EX,EX,None,1.01-1.09,
-0.31,RO,G,SI1,EX,EX,EX,None,1.01-1.09,
-0.3,RO,H,SI1,EX,EX,EX,None,1.01-1.09,
-0.33,RO,I,SI1,EX,EX,EX,None,1.01-1.09,
-0.32,RO,J,SI1,EX,EX,EX,None,1.01-1.09,
-0.33,RO,K,SI1,EX,EX,EX,None,1.01-1.09,
-0.29,RO,L,SI1,EX,EX,EX,None,1.01-1.09,
-0.33,RO,M,SI1,EX,EX,EX,None,1.01-1.09,
-0.29,RO,D,SI2,EX,EX,EX,None,1.01-1.09,
-0.3,RO,E,SI2,EX,EX,EX,None,1.01-1.09,
-0.34,RO,F,SI2,EX,EX,EX,None,1.01-1.09,
-0.32,RO,G,SI2,EX,EX,EX,None,1.01-1.09,
-0.32,RO,H,SI2,EX,EX,EX,None,1.01-1.09,
-0.33,RO,I,SI2,EX,EX,EX,None,1.01-1.09,
-0.32,RO,J,SI2,EX,EX,EX,None,1.01-1.09,
-0.32,RO,K,SI2,EX,EX,EX,None,1.01-1.09,
-0.33,RO,L,SI2,EX,EX,EX,None,1.01-1.09,
-0.33,RO,M,SI2,EX,EX,EX,None,1.01-1.09,
-0.24,RO,D,I1,EX,EX,EX,None,1.01-1.09,
-0.25,RO,E,I1,EX,EX,EX,None,1.01-1.09,
-0.27,RO,F,I1,EX,EX,EX,None,1.01-1.09,
-0.3,RO,G,I1,EX,EX,EX,None,1.01-1.09,
-0.29,RO,H,I1,EX,EX,EX,None,1.01-1.09,
-0.27,RO,I,I1,EX,EX,EX,None,1.01-1.09,
-0.27,RO,J,I1,EX,EX,EX,None,1.01-1.09,
-0.28,RO,K,I1,EX,EX,EX,None,1.01-1.09,
-0.28,RO,L,I1,EX,EX,EX,None,1.01-1.09,
-0.3,RO,M,I1,EX,EX,EX,None,1.01-1.09,
-0.4,RO,D,IF,EX,EX,EX,Faint,1.01-1.09,
-0.35,RO,E,IF,EX,EX,EX,Faint,1.01-1.09,
-0.34,RO,F,IF,EX,EX,EX,Faint,1.01-1.09,
-0.31,RO,G,IF,EX,EX,EX,Faint,1.01-1.09,
-0.35,RO,H,IF,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,I,IF,EX,EX,EX,Faint,1.01-1.09,
-0.31,RO,J,IF,EX,EX,EX,Faint,1.01-1.09,
-0.32,RO,K,IF,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,L,IF,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,M,IF,EX,EX,EX,Faint,1.01-1.09,
-0.37,RO,D,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.37,RO,E,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.37,RO,F,VVS1,EX,EX,EX,Faint,1.01-1.09,
