Location,Intensity,1,2,3,4,5,6,7,8,9,sizemin,sizemax,cut,polish,symmetry,Shape
Table,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,EX,,,RO
Table,BT1+,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,1.0,10.0,EX,,,RO
Table,BT1,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-1.5,-1.5,1.0,10.0,EX,,,RO
Table,BT2,-4.0,-4.0,-3.5,-4.5,-4.0,-3.5,-4.5,-4.0,-3.5,1.0,10.0,EX,,,RO
Table,BT3,-5.5,-5.0,-4.5,-5.5,-6.5,-5.5,-6.5,-5.5,-5.0,1.0,10.0,EX,,,RO
,,,,,,,,,,,1.0,10.0,,,,RO
Crown,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,EX,,,RO
Crown,BC1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,EX,,,RO
Crown,BC1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,1.0,10.0,EX,,,RO
Crown,BC2,-2.5,-2.5,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.5,1.0,10.0,EX,,,RO
Crown,BC3,-4.0,-4.0,-3.5,-5.0,-5.0,-4.5,-5.0,-5.0,-4.0,1.0,10.0,EX,,,RO
,,,,,,,,,,,1.0,10.0,,,,RO
Table,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,VG,,,RO
Table,BT1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,VG,,,RO
Table,BT1,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-1.5,-1.0,1.0,10.0,VG,,,RO
Table,BT2,-3.5,-3.5,-3.0,-4.0,-3.5,-3.0,-3.5,-3.5,-3.0,1.0,10.0,VG,,,RO
Table,BC3,-5.5,-5.0,-4.5,-7.0,-6.5,-5.5,-6.5,-5.5,-5.0,1.0,10.0,VG,,,RO
,,,,,,,,,,,1.0,10.0,,,,RO
Crown,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,VG,,,RO
Crown,BC1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,VG,,,RO
Crown,BC1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,1.0,10.0,VG,,,RO
Crown,BC2,-2.5,-2.5,-2.0,-3.0,-3.0,-2.0,-2.5,-2.5,-2.0,1.0,10.0,VG,,,RO
,BC3,-4.0,-4.0,-3.5,-6.0,-6.0,-4.5,-4.5,-4.5,-4.0,1.0,10.0,VG,,,RO
Table,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,GD,,,RO
Table,BT1+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,GD,,,RO
Table,BT1,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,1.0,10.0,GD,,,RO
Table,BT2,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-2.0,-2.0,-1.5,1.0,10.0,GD,,,RO
Table,BT3,-5.0,-4.5,-4.0,-6.0,-5.5,-4.5,-5.0,-4.5,-3.5,1.0,10.0,GD,,,RO
,,,,,,,,,,,1.0,10.0,,,,RO
Crown,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,GD,,,RO
Crown,BC1+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,GD,,,RO
Crown,BC1,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,0.0,1.0,10.0,GD,,,RO
Crown,BC2,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.5,-1.5,-1.0,1.0,10.0,GD,,,RO
Crown,BC3,-3.0,-3.0,-2.0,-4.0,-4.0,-3.5,-3.5,-3.5,-3.0,1.0,10.0,GD,,,RO
Table,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,EX,EX,EX,Fancy
Table,BT1+,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,1.0,10.0,EX,EX,EX,Fancy
Table,BT1,-3.5,-3.5,-3.0,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,1.0,10.0,EX,EX,EX,Fancy
Table,BT2,-5.0,-5.0,-4.5,-5.5,-5.0,-4.5,-4.5,-4.5,-4.0,1.0,10.0,EX,EX,EX,Fancy
Table,BT3,-7.5,-7.0,-6.5,-9.0,-8.5,-7.5,-8.5,-7.5,-7.0,1.0,10.0,EX,EX,EX,Fancy
,,,,,,,,,,,1.0,10.0,EX,EX,EX,Fancy
Crown,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,EX,EX,EX,Fancy
Crown,BC1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,EX,EX,EX,Fancy
Crown,BC1,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-2.5,-2.5,-2.0,1.0,10.0,EX,EX,EX,Fancy
Crown,BC2,-4.0,-4.0,-3.5,-4.5,-4.5,-3.5,-4.0,-4.0,-3.0,1.0,10.0,EX,EX,EX,Fancy
Crown,BC3,-6.0,-6.0,-5.5,-8.0,-8.0,-6.5,-6.5,-6.3,-5.3,1.0,10.0,EX,EX,EX,Fancy
,,,,,,,,,,,1.0,10.0,,,,Fancy
Table,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,,VG,VG,Fancy
Table,BT1+,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,1.0,10.0,,VG,VG,Fancy
Table,BT1,-3.5,-3.5,-3.0,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,1.0,10.0,,VG,VG,Fancy
Table,BT2,-5.0,-5.0,-4.5,-5.5,-5.0,-4.5,-4.5,-4.5,-4.0,1.0,10.0,,VG,VG,Fancy
Table,BT3,-7.5,-7.0,-6.5,-9.0,-8.3,-7.3,-8.3,-7.3,-6.8,1.0,10.0,,VG,VG,Fancy
,,,,,,,,,,,1.0,10.0,,,,Fancy
