From,To,1,2,3,4,5,6,7,8,9
3.00,3.00,-2.0,-2.0,-1.0,-2.0,-2.0,-1.5,-1.0,-1.0,-1.0
3.01,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.10,3.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25,3.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.50,3.749,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.50,3.749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.75,3.999,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3.75,3.999,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
4.00,4.00,-2.0,-2.0,-1.0,-2.0,-2.0,-1.5,-1.0,-1.0,-1.0
4.01,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.10,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.25,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.50,4.99,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
4.50,4.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.00,5.00,-3.0,-3.0,-2.0,-3.0,-2.0,-2.0,-3.0,-2.0,-2.0
5.01,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.25,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,6.99,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
6.5,6.99,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
