Section,bgm,Discount,Shape
1,,-6,RO
1,,-11,RO
1,,-15,RO
1,,-6,RO
1,,-11,RO
1,,-17.5,RO
1,,-5,RO
1,,-10,RO
1,,-16.5,RO
1,,-4,RO
1,,-10,RO
1,,-17,RO
1,,-23.5,RO
1,,-8,FANCY
1,,-13,FANCY
1,,-19.5,FANCY
1,,-8,FANCY
1,,-13,FANCY
1,,-19.5,FANCY
1,,-7,FANCY
1,,-13,FANCY
1,,-18.5,FANCY
1,,-5,FANCY
1,,-12,FANCY
1,,-18,FANCY
1,,-23.5,FANCY
2,,-6,RO
2,,-11,RO
2,,-15,RO
2,,-6,RO
2,,-11,RO
2,,-17.5,RO
2,,-5,RO
2,,-10,RO
2,,-16.5,RO
2,,-4,RO
2,,-10,RO
2,,-17,RO
2,,-23.5,RO
2,,-8,FANCY
2,,-13,FANCY
2,,-19.5,FANCY
2,,-8,FANCY
2,,-13,FANCY
2,,-19.5,FANCY
2,,-7,FANCY
2,,-13,FANCY
2,,-18.5,FANCY
2,,-5,FANCY
2,,-12,FANCY
2,,-18,FANCY
2,,-23.5,FANCY
3,,-5,RO
3,,-9,RO
3,,-13,RO
3,,-5,RO
3,,-9,RO
3,,-15.5,RO
3,,-4,RO
3,,-8,RO
3,,-14.5,RO
3,,-4,RO
3,,-10,RO
3,,-17,RO
3,,-22.5,RO
3,,-7,FANCY
3,,-11,FANCY
3,,-17.5,FANCY
3,,-7,FANCY
3,,-11,FANCY
3,,-17.5,FANCY
3,,-6,FANCY
3,,-11,FANCY
3,,-16.5,FANCY
3,,-5,FANCY
3,,-12,FANCY
3,,-18,FANCY
3,,-22.5,FANCY
4,,-6,RO
4,,-10,RO
4,,-14,RO
4,,-6,RO
4,,-10,RO
4,,-16,RO
4,,-5,RO
4,,-9,RO
4,,-15,RO
4,,-4.5,RO
4,,-11,RO
4,,-17,RO
4,,-23.5,RO
4,,-8,FANCY
4,,-12,FANCY
4,,-18,FANCY
4,,-8,FANCY
4,,-12,FANCY
4,,-18,FANCY
4,,-7,FANCY
4,,-12,FANCY
4,,-17,FANCY
4,,-5,FANCY
4,,-12,FANCY
4,,-18,FANCY
4,,-23.5,FANCY
5,,-6,RO
5,,-11,RO
5,,-15,RO
5,,-6,RO
5,,-11,RO
5,,-17.5,RO
5,,-5,RO
5,,-10,RO
5,,-16.5,RO
5,,-4.5,RO
5,,-11,RO
5,,-17,RO
5,,-23.5,RO
5,,-8,FANCY
5,,-13,FANCY
5,,-19.5,FANCY
5,,-8,FANCY
5,,-13,FANCY
5,,-19.5,FANCY
5,,-7,FANCY
5,,-13,FANCY
5,,-18.5,FANCY
5,,-5,FANCY
5,,-12,FANCY
5,,-18,FANCY
5,,-23.5,FANCY
6,,-4,RO
6,,-9,RO
6,,-13,RO
6,,-4,RO
6,,-9,RO
6,,-15.5,RO
6,,-3,RO
6,,-8,RO
6,,-14.5,RO
6,,-4.5,RO
6,,-11,RO
6,,-14,RO
6,,-21.5,RO
6,,-6,FANCY
6,,-11,FANCY
6,,-17.5,FANCY
6,,-6,FANCY
6,,-11,FANCY
6,,-17.5,FANCY
6,,-5,FANCY
6,,-11,FANCY
6,,-16.5,FANCY
6,,-4,FANCY
6,,-10,FANCY
6,,-14,FANCY
6,,-20.5,FANCY
7,,-4,RO
7,,-9,RO
7,,-12,RO
7,,-4,RO
7,,-9,RO
7,,-15,RO
7,,-3,RO
7,,-8,RO
7,,-14,RO
7,,-4,RO
7,,-10,RO
7,,-14,RO
7,,-21.5,RO
7,,-6,FANCY
7,,-11,FANCY
7,,-17,FANCY
7,,-6,FANCY
7,,-11,FANCY
7,,-17,FANCY
7,,-5,FANCY
7,,-11,FANCY
7,,-16,FANCY
7,,-4,FANCY
7,,-10,FANCY
7,,-14,FANCY
7,,-20.5,FANCY
8,,-3,RO
8,,-8,RO
8,,-12,RO
8,,-3,RO
8,,-8,RO
8,,-14.5,RO
8,,-2,RO
8,,-7,RO
8,,-13.5,RO
8,,-4,RO
8,,-10,RO
8,,-14,RO
8,,-21.5,RO
8,,-5,FANCY
8,,-10,FANCY
8,,-16.5,FANCY
8,,-5,FANCY
8,,-10,FANCY
8,,-16.5,FANCY
8,,-4,FANCY
8,,-10,FANCY
8,,-15.5,FANCY
8,,-4,FANCY
8,,-10,FANCY
8,,-14,FANCY
8,,-20.5,FANCY
9,,-3,RO
9,,-8,RO
9,,-12,RO
9,,-3,RO
9,,-8,RO
9,,-14.5,RO
9,,-2,RO
9,,-7,RO
9,,-13.5,RO
9,,-4,RO
9,,-10,RO
9,,-14,RO
9,,-20,RO
9,,-5,FANCY
9,,-10,FANCY
9,,-16.5,FANCY
9,,-5,FANCY
9,,-10,FANCY
9,,-16.5,FANCY
9,,-4,FANCY
9,,-10,FANCY
9,,-15.5,FANCY
9,,-3.5,FANCY
9,,-9,FANCY
9,,-13,FANCY
9,,-18.5,FANCY
