Location,Intensity,1,2,3,4,5,6,7,8,9,sizemin,sizemax,cut,polish,sym,Shape
Table,BT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Table,BT1+,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Table,BT1,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-1.5,-1.5,1,2.99,EX,,,RO
Table,BT2,-4.0,-4.0,-5.0,-4.5,-4.0,-5.0,-5.0,-5.0,-6.0,1,2.99,EX,,,RO
Table,BT3,-5.5,-5.0,-6.0,-5.5,-6.5,-6.0,-7.0,-6.0,-7.0,1,2.99,EX,,,RO
Crown,BC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Crown,BC1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,EX,,,RO
Crown,BC1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,1,2.99,EX,,,RO
Crown,BC2,-2.5,-2.5,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,1,2.99,EX,,,RO
Crown,BC3,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-6.0,1,2.99,EX,,,RO
Table,BT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Table,BT1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Table,BT1,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-1.5,-1.0,1,2.99,VG,,,RO
Table,BT2,-3.5,-3.5,-3.0,-4.0,-3.5,-3.0,-4.0,-4.5,-4.0,1,2.99,VG,,,RO
Table,BT3,-5.5,-5.0,-4.5,-7.0,-6.5,-5.5,-7.0,-6.0,-6.0,1,2.99,VG,,,RO
Crown,BC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Crown,BC1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,VG,,,RO
Crown,BC1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,1,2.99,VG,,,RO
Crown,BC2,-2.5,-2.5,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-3.0,1,2.99,VG,,,RO
