From,To,1,2,3,4,5,6,7,8,9
1,1,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
1.01,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0
2.01,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,-3.0,-2.5,-1.5,-3.0,-2.0,-1.5,-1.0,-1.0,-1.0
3.01,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,3.24,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0
3.25,3.49,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3.5,3.69,3.5,3.5,3.0,3.5,5.0,5.0,5.0,4.0,3.0
3.7,3.89,7.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,4.0
3.9,3.99,9.0,8.0,8.0,7.0,10.0,8.0,8.0,8.0,7.0
4,4,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
4.01,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,4.24,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0
4.25,4.49,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
4.5,4.69,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0
4.7,4.89,8.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
4.9,4.99,10.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0
5,5,-3.0,-3.0,-2.0,-3.0,-2.0,-2.0,-3.0,-2.0,-2.0
5.01,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,5.24,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
5.25,5.49,4.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0
5.5,5.69,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0
5.7,5.89,7.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0
5.9,5.99,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0
6,6.49,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6.5,6.99,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
