Inclusion,Location,1,2,3,4,5,6,7,8,9,Shape,CL1,CL2,,,,,,,,,,,,,
PP1,,Applicable only on,,IF,VS1,,,,,,Round,,,,,,,,,,,,,,,
PP1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS1,,,,,,,,,,,,,
PP1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS1,,,,,,,,,,,,,
PP1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS1,,,,,,,,,,,,,
PP1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS1,,,,,,,,,,,,,
PP2,,Applicable only on,,IF,VS2,,,,,,Round,,,,,,,,,,,,,,,
PP2,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS2,,,,,,,,,,,,,
PP2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS2,,,,,,,,,,,,,
PP2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS2,,,,,,,,,,,,,
PP2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS2,,,,,,,,,,,,,
F1,,Applicable only on,,VVS2,VS2,,,,,,Round,,,,,,,,,,,,,,,
F1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS2,VS2,,,,,,,,,,,,,
F1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS2,VS2,,,,,,,,,,,,,
F1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS2,VS2,,,,,,,,,,,,,
F1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS2,VS2,,,,,,,,,,,,,
F2,,Applicable only on,,VS2,SI2,,,,,,Round,,,,,,,,,,,,,,,
F2,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
F2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
F2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
F2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
F3,,Applicable only on,,SI1,I1,,,,,,Round,,,,,,,,,,,,,,,
F3,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI1,I1,,,,,,,,,,,,,
F3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI1,I1,,,,,,,,,,,,,
F3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI1,I1,,,,,,,,,,,,,
F3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI1,I1,,,,,,,,,,,,,
F4,,Applicable only on,,SI2,I1,,,,,,Round,,,,,,,,,,,,,,,
F4,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI2,I1,,,,,,,,,,,,,
F4,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI2,I1,,,,,,,,,,,,,
F4,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI2,I1,,,,,,,,,,,,,
F4,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI2,I1,,,,,,,,,,,,,
