Location,Intensity,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,sizemin,sizemax,cut,polish,sym,Shape
Table,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,EX,,,RO
Table,1+,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,1,5.99,EX,,,RO
Table,1,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-1.5,-1.5,1,5.99,EX,,,RO
Table,2,-4.0,-4.0,-5.0,-4.5,-4.0,-5.0,-5.0,-5.0,-6.0,1,5.99,EX,,,RO
Table,3,-5.5,-5.0,-6.0,-5.5,-6.5,-6.0,-7.0,-6.0,-7.0,1,5.99,EX,,,RO
Crown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,EX,,,RO
Crown,1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,EX,,,RO
Crown,1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,1,5.99,EX,,,RO
Crown,2,-2.5,-2.5,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,1,5.99,EX,,,RO
Crown,3,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-6.0,1,5.99,EX,,,RO
Table,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,VG,,,RO
Table,1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,VG,,,RO
Table,1,-2.0,-2.0,-1.5,-2.0,-2.0,-1.5,-2.0,-1.5,-1.0,1,5.99,VG,,,RO
Table,2,-3.5,-3.5,-3.0,-4.0,-3.5,-3.0,-4.0,-4.5,-4.0,1,5.99,VG,,,RO
Table,3,-5.5,-5.0,-4.5,-7.0,-6.5,-5.5,-7.0,-6.0,-6.0,1,5.99,VG,,,RO
Crown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,VG,,,RO
Crown,1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,VG,,,RO
Crown,1,-1.5,-1.5,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,1,5.99,VG,,,RO
Crown,2,-2.5,-2.5,-2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-3.0,1,5.99,VG,,,RO
Crown,3,-4.0,-4.0,-3.5,-6.0,-6.0,-4.5,-5.0,-5.0,-5.0,1,5.99,VG,,,RO
Table,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,G,,,RO
Table,1+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,G,,,RO
Table,1,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,1,5.99,G,,,RO
Table,2,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,1,5.99,G,,,RO
Table,3,-5.0,-4.5,-4.0,-6.0,-5.5,-4.5,-6.0,-5.0,-4.0,1,5.99,G,,,RO
Crown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,G,,,RO
Crown,1+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.99,G,,,RO
Crown,1,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,0.0,1,5.99,G,,,RO
Crown,2,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,1,5.99,G,,,RO
Crown,3,-3.0,-3.0,-2.0,-4.0,-4.0,-3.5,-4.0,-4.0,-4.0,1,5.99,G,,,RO
Table,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.99,EX,EX,EX,Fancy
Table,1+,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0,2.99,EX,EX,EX,Fancy
Table,1,-3.5,-3.5,-3.0,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,0,2.99,EX,EX,EX,Fancy
Table,2,-5.0,-5.0,-4.5,-5.5,-5.0,-4.5,-5.0,-5.0,-5.0,0,2.99,EX,EX,EX,Fancy
