,Clarity,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Size,Shape
0,D,-41,-41,-39,-41,-41,-41,-37,0.50-0.599,PEAR
1,E,-38,-39,-37,-38,-39,-38,-35,0.50-0.599,PEAR
2,F,-37,-36,-36,-37,-38,-36,-33,0.50-0.599,PEAR
3,G,-36,-35,-33,-33,-37,-34,-31,0.50-0.599,PEAR
4,H,-36,-35,-35,-35,-33,-33,-32,0.50-0.599,PEAR
5,I,-38,-37,-35,-34,-34,-32,-33,0.50-0.599,PEAR
6,J,,,,,,,,0.50-0.599,PEAR
7,K,,,,,,,,0.50-0.599,PEAR
8,L,,,,,,,,0.50-0.599,PEAR
9,M,,,,,,,,0.50-0.599,PEAR
10,D,-39,-42,-42,-40,-41,-40,-36,0.50-0.599,OVAL
11,E,-37,-40,-40,-38,-39,-39,-35,0.50-0.599,OVAL
12,F,-40,-40,-39,-40,-39,-38,-33,0.50-0.599,OVAL
13,G,-43,-42,-40,-39,-38,-36,-35,0.50-0.599,OVAL
14,H,-41,-44,-42,-42,-41,-38,-38,0.50-0.599,OVAL
15,I,-41,-42,-41,-40,-39,-37,-37,0.50-0.599,OVAL
16,J,,,,,,,,0.50-0.599,OVAL
17,K,,,,,,,,0.50-0.599,OVAL
18,L,,,,,,,,0.50-0.599,OVAL
19,M,,,,,,,,0.50-0.599,OVAL
20,D,-42,-44,-47,-46,-46,-42,-44,0.50-0.599,PRINCESS
21,E,-45,-46,-46,-44,-44,-46,-42,0.50-0.599,PRINCESS
22,F,-44,-44,-43,-43,-45,-45,-40,0.50-0.599,PRINCESS
23,G,-44,-41,-40,-40,-45,-44,-40,0.50-0.599,PRINCESS
24,H,-44,-45,-44,-43,-44,-42,-38,0.50-0.599,PRINCESS
25,I,-40,-43,-42,-41,-41,-37,-38,0.50-0.599,PRINCESS
26,J,,,,,,,,0.50-0.599,PRINCESS
27,K,,,,,,,,0.50-0.599,PRINCESS
28,L,,,,,,,,0.50-0.599,PRINCESS
29,M,,,,,,,,0.50-0.599,PRINCESS
30,D,-57,-60,-59,-58,-57,-52,-48,0.50-0.599,CUSHION
31,E,-57,-59,-58,-57,-56,-53,-47,0.50-0.599,CUSHION
32,F,-55,-59,-57,-57,-56,-53,-48,0.50-0.599,CUSHION
33,G,-59,-57,-55,-55,-56,-53,-46,0.50-0.599,CUSHION
34,H,-57,-58,-56,-56,-56,-52,-48,0.50-0.599,CUSHION
35,I,-57,-56,-58,-57,-56,-52,-49,0.50-0.599,CUSHION
36,J,,,,,,,,0.50-0.599,CUSHION
37,K,,,,,,,,0.50-0.599,CUSHION
38,L,,,,,,,,0.50-0.599,CUSHION
39,M,,,,,,,,0.50-0.599,CUSHION
40,D,-32,-33,-32,-30,-33,-32,-36,0.50-0.599,MARQUISE
41,E,-27,-30,-29,-28,-30,-28,-32,0.50-0.599,MARQUISE
42,F,-30,-30,-28,-28,-29,-30,-30,0.50-0.599,MARQUISE
43,G,-30,-30,-28,-27,-28,-28,-28,0.50-0.599,MARQUISE
44,H,-32,-33,-34,-33,-31,-28,-30,0.50-0.599,MARQUISE
45,I,-30,-30,-32,-31,-32,-33,-32,0.50-0.599,MARQUISE
46,J,,,,,,,,0.50-0.599,MARQUISE
47,K,,,,,,,,0.50-0.599,MARQUISE
48,L,,,,,,,,0.50-0.599,MARQUISE
49,M,,,,,,,,0.50-0.599,MARQUISE
50,D,-51,-50,-50,-48,-48,-50,-46,0.50-0.599,EMERALD
51,E,-51,-50,-48,-47,-52,-50,-45,0.50-0.599,EMERALD
52,F,-50,-49,-47,-47,-52,-50,-44,0.50-0.599,EMERALD
53,G,-50,-48,-46,-45,-52,-49,-44,0.50-0.599,EMERALD
54,H,-51,-54,-52,-51,-51,-47,-45,0.50-0.599,EMERALD
55,I,-49,-54,-53,-52,-51,-48,-50,0.50-0.599,EMERALD
56,J,,,,,,,,0.50-0.599,EMERALD
57,K,,,,,,,,0.50-0.599,EMERALD
58,L,,,,,,,,0.50-0.599,EMERALD
59,M,,,,,,,,0.50-0.599,EMERALD
60,D,-33,-30,-27,-29,-30,-31,-30,0.60-0.699,PEAR
61,E,-28,-27,-26,-25,-27,-26,-29,0.60-0.699,PEAR
62,F,-25,-26,-26,-25,-25,-27,-31,0.60-0.699,PEAR
63,G,-21,-24,-22,-22,-25,-26,-28,0.60-0.699,PEAR
64,H,-25,-24,-21,-25,-24,-24,-25,0.60-0.699,PEAR
65,I,-20,-21,-20,-24,-24,-24,-24,0.60-0.699,PEAR
66,J,,,,,,,,0.60-0.699,PEAR
67,K,,,,,,,,0.60-0.699,PEAR
68,L,,,,,,,,0.60-0.699,PEAR
69,M,,,,,,,,0.60-0.699,PEAR
70,D,-30,-30,-30,-27,-29,-26,-30,0.60-0.699,OVAL
71,E,-27,-32,-29,-27,-25,-26,-25,0.60-0.699,OVAL
72,F,-28,-30,-28,-27,-28,-25,-24,0.60-0.699,OVAL
73,G,-31,-30,-26,-28,-27,-25,-25,0.60-0.699,OVAL
74,H,-28,-27,-25,-25,-25,-23,-24,0.60-0.699,OVAL
75,I,-32,-32,-33,-32,-30,-28,-24,0.60-0.699,OVAL
76,J,,,,,,,,0.60-0.699,OVAL
77,K,,,,,,,,0.60-0.699,OVAL
78,L,,,,,,,,0.60-0.699,OVAL
79,M,,,,,,,,0.60-0.699,OVAL
80,D,-33,-34,-34,-34,-37,-28,-31,0.60-0.699,PRINCESS
81,E,-33,-35,-37,-38,-35,-37,-38,0.60-0.699,PRINCESS
82,F,-38,-36,-38,-37,-36,-35,-36,0.60-0.699,PRINCESS
83,G,-39,-36,-37,-36,-35,-36,-33,0.60-0.699,PRINCESS
