index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
0,0.30-0.34,None,IF,EX,EX,GD,-49.0,-46.0,-46.0,-50,-51,-50,-50,-51,-46,-48
1,0.30-0.34,None,SI1,EX,EX,GD,-48.0,-51.0,-50.0,-46,-46,-48,-45,-45,-45,-43
2,0.30-0.34,None,SI2,EX,EX,GD,-48.0,-52.0,-49.0,-44,-45,-46,-43,-47,-47,-43
3,0.30-0.34,None,VS1,EX,EX,GD,-45.0,-50.0,-48.0,-46,-46,-47,-46,-45,-44,-45
4,0.30-0.34,None,VS2,EX,EX,GD,-49.0,-51.0,-49.0,-46,-45,-48,-46,-44,-45,-43
5,0.30-0.34,None,VVS1,EX,EX,GD,-46.0,-44.0,-44.0,-49,-49,-48,-48,-49,-45,-51
6,0.30-0.34,None,VVS2,EX,EX,GD,-47.0,-48.0,-48.0,-47,-48,-49,-49,-48,-47,-49
7,0.35-0.39,None,IF,EX,EX,GD,-44.0,-34.0,-40.0,-44,-45,-46,-46,-47,-45,-41
8,0.35-0.39,None,SI1,EX,EX,GD,-43.0,-49.0,-48.0,-46,-43,-41,-34,-41,-40,-41
9,0.35-0.39,None,SI2,EX,EX,GD,-45.0,-48.0,-47.0,-44,-44,-42,-39,-45,-41,-41
10,0.35-0.39,None,VS1,EX,EX,GD,-42.0,-49.0,-47.0,-45,-44,-44,-39,-43,-40,-41
11,0.35-0.39,None,VS2,EX,EX,GD,-45.0,-50.0,-48.0,-45,-42,-44,-37,-41,-42,-41
12,0.35-0.39,None,VVS1,EX,EX,GD,-40.0,-36.0,-40.0,-44,-44,-45,-43,-46,-44,-42
13,0.35-0.39,None,VVS2,EX,EX,GD,-43.0,-43.0,-43.0,-46,-45,-46,-42,-46,-43,-45
14,0.40-0.44,None,IF,EX,EX,GD,-36.0,-33.0,-33.0,-37,-36,-41,-40,-42,-39,-43
15,0.40-0.44,None,IF,EX,EX,GD,-36.0,-33.0,-33.0,-37,-36,-41,-40,-42,-39,-43
16,0.40-0.44,None,SI1,EX,EX,GD,-43.0,-42.0,-41.0,-38,-37,-38,-38,-41,-43,-40
17,0.40-0.44,None,SI1,EX,EX,GD,-43.0,-42.0,-41.0,-38,-37,-38,-38,-41,-43,-40
18,0.40-0.44,None,SI2,EX,EX,GD,-45.0,-47.0,-44.0,-41,-39,-38,-39,-38,-36,-38
19,0.40-0.44,None,SI2,EX,EX,GD,-45.0,-47.0,-44.0,-41,-39,-38,-39,-38,-36,-38
20,0.40-0.44,None,VS1,EX,EX,GD,-42.0,-40.0,-39.0,-37,-36,-44,-42,-42,-43,-43
21,0.40-0.44,None,VS1,EX,EX,GD,-42.0,-40.0,-39.0,-37,-36,-44,-42,-42,-43,-43
22,0.40-0.44,None,VS2,EX,EX,GD,-43.0,-44.0,-42.0,-39,-36,-44,-41,-42,-44,-41
23,0.40-0.44,None,VS2,EX,EX,GD,-43.0,-44.0,-42.0,-39,-36,-44,-41,-42,-44,-41
24,0.40-0.44,None,VVS1,EX,EX,GD,-35.0,-32.0,-33.0,-35,-36,-42,-42,-43,-38,-41
25,0.40-0.44,None,VVS1,EX,EX,GD,-35.0,-32.0,-33.0,-35,-36,-42,-42,-43,-38,-41
26,0.40-0.44,None,VVS2,EX,EX,GD,-39.0,-38.0,-36.0,-36,-37,-44,-42,-44,-44,-43
27,0.40-0.44,None,VVS2,EX,EX,GD,-39.0,-38.0,-36.0,-36,-37,-44,-42,-44,-44,-43
28,0.45-0.49,None,IF,EX,EX,GD,-28.0,-22.0,-20.0,-20,-24,-27,-25,-38,-32,-30
29,0.45-0.49,None,SI1,EX,EX,GD,-33.0,-31.0,-30.0,-28,-26,-29,-29,-30,-30,-35
30,0.45-0.49,None,SI2,EX,EX,GD,-39.0,-39.0,-36.0,-33,-30,-30,-29,-30,-29,-37
31,0.45-0.49,None,VS1,EX,EX,GD,-30.0,-28.0,-27.0,-24,-26,-31,-33,-31,-33,-35
32,0.45-0.49,None,VS2,EX,EX,GD,-26.0,-31.0,-30.0,-27,-24,-29,-30,-31,-31,-35
33,0.45-0.49,None,VVS1,EX,EX,GD,-24.0,-20.0,-20.0,-23,-25,-32,-29,-35,-30,-31
34,0.45-0.49,None,VVS2,EX,EX,GD,-31.0,-29.0,-26.0,-24,-26,-31,-35,-34,-33,-39
35,0.50-0.59,None,IF,EX,EX,GD,-46.0,-42.0,-43.0,-43,-47,-47,-43,-42,-43,-42
36,0.50-0.59,None,SI1,EX,EX,GD,-48.0,-51.0,-50.0,-50,-46,-47,-47,-46,-44,-46
37,0.50-0.59,None,SI2,EX,EX,GD,-47.0,-50.0,-49.0,-50,-48,-50,-47,-47,-44,-41
38,0.50-0.59,None,VS1,EX,EX,GD,-48.0,-49.0,-49.0,-47,-47,-47,-44,-45,-43,-43
39,0.50-0.59,None,VS2,EX,EX,GD,-49.0,-51.0,-50.0,-48,-47,-47,-46,-48,-42,-43
40,0.50-0.59,None,VVS1,EX,EX,GD,-46.0,-41.0,-43.0,-44,-47,-48,-45,-42,-42,-44
41,0.50-0.59,None,VVS2,EX,EX,GD,-50.0,-48.0,-48.0,-46,-46,-47,-46,-46,-41,-44
42,0.70-0.74,None,IF,EX,EX,GD,-41.0,-36.0,-34.0,-39,-45,-42,-41,-41,-36,-39
43,0.70-0.74,None,SI1,EX,EX,GD,-47.0,-46.0,-43.0,-43,-42,-41,-39,-37,-40,-43
44,0.70-0.74,None,SI2,EX,EX,GD,-47.0,-47.0,-47.0,-47,-44,-41,-41,-42,-40,-44
45,0.70-0.74,None,VS1,EX,EX,GD,-42.0,-43.0,-42.0,-39,-44,-38,-37,-39,-41,-47
46,0.70-0.74,None,VS2,EX,EX,GD,-46.0,-44.0,-43.0,-43,-42,-41,-39,-42,-42,-46
47,0.70-0.74,None,VVS1,EX,EX,GD,-37.0,-36.0,-33.0,-40,-44,-42,-40,-38,-41,-40
48,0.70-0.74,None,VVS2,EX,EX,GD,-42.0,-39.0,-38.0,-41,-45,-41,-40,-41,-40,-45
49,0.75-0.79,None,IF,EX,EX,GD,-34.0,-30.0,-28.0,-33,-39,-38,-36,-34,-35,-36
50,0.75-0.79,None,SI1,EX,EX,GD,-41.0,-39.0,-39.0,-36,-35,-32,-30,-36,-33,-41
51,0.75-0.79,None,SI2,EX,EX,GD,-44.0,-41.0,-43.0,-40,-35,-36,-30,-37,-36,-37
52,0.75-0.79,None,VS1,EX,EX,GD,-36.0,-36.0,-37.0,-36,-38,-34,-33,-36,-35,-40
53,0.75-0.79,None,VS2,EX,EX,GD,-41.0,-43.0,-41.0,-39,-36,-33,-33,-36,-33,-42
54,0.75-0.79,None,VVS1,EX,EX,GD,-31.0,-28.0,-26.0,-33,-39,-38,-34,-35,-32,-35
55,0.75-0.79,None,VVS2,EX,EX,GD,-35.0,-35.0,-33.0,-39,-41,-37,-35,-36,-32,-41
56,0.80-0.89,None,IF,EX,EX,GD,-25.0,-20.0,-18.0,-21,-27,-25,-26,-23,-27,-29
57,0.80-0.89,None,SI1,EX,EX,GD,-30.0,-31.0,-30.0,-30,-29,-26,-27,-33,-32,-36
58,0.80-0.89,None,SI2,EX,EX,GD,-32.0,-36.0,-36.0,-34,-32,-31,-28,-31,-33,-36
59,0.80-0.89,None,VS1,EX,EX,GD,-25.0,-25.0,-25.0,-28,-29,-31,-28,-25,-32,-35
60,0.80-0.89,None,VS2,EX,EX,GD,-25.0,-27.0,-27.0,-26,-28,-31,-26,-28,-31,-35
61,0.80-0.89,None,VVS1,EX,EX,GD,-20.0,-18.0,-19.0,-20,-26,-27,-26,-25,-26,-32
62,0.80-0.89,None,VVS2,EX,EX,GD,-23.0,-22.0,-24.0,-25,-29,-29,-26,-20,-30,-37
63,0.90-0.94,None,IF,EX,EX,GD,-40.0,-40.0,-40.0,-42,-42,-34,-33,-34,-37,-40
64,0.90-0.94,None,SI1,EX,EX,GD,-36.0,-35.0,-36.0,-35,-36,-38,-38,-35,-38,-40
65,0.90-0.94,None,SI2,EX,EX,GD,-40.0,-41.0,-38.0,-40,-39,-36,-36,-39,-36,-37
66,0.90-0.94,None,VS1,EX,EX,GD,-44.0,-42.0,-38.0,-38,-40,-38,-36,-35,-36,-37
67,0.90-0.94,None,VS2,EX,EX,GD,-42.0,-39.0,-39.0,-37,-39,-38,-38,-37,-37,-36
68,0.90-0.94,None,VVS1,EX,EX,GD,-40.0,-38.0,-37.0,-40,-42,-35,-34,-33,-37,-38
69,0.90-0.94,None,VVS2,EX,EX,GD,-44.0,-41.0,-38.0,-40,-42,-38,-37,-37,-38,-37
