Color,Size,Fluo,Clarity,Cut,Polish,Symmetry,Discount
D,1.01-1.09,None,IF,EX,EX,GD,-7.0
E,1.01-1.09,None,IF,EX,EX,GD,-7.0
F,1.01-1.09,None,IF,EX,EX,GD,-7.0
G,1.01-1.09,None,IF,EX,EX,GD,-7.0
H,1.01-1.09,None,IF,EX,EX,GD,-7.0
I,1.01-1.09,None,IF,EX,EX,GD,-7.0
J,1.01-1.09,None,IF,EX,EX,GD,-7.0
K,1.01-1.09,None,IF,EX,EX,GD,-7.0
L,1.01-1.09,None,IF,EX,EX,GD,-7.0
M,1.01-1.09,None,IF,EX,EX,GD,-7.0
D,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
E,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
F,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
G,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
H,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
I,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
J,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
K,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
L,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
M,1.01-1.09,None,VVS1,EX,EX,GD,-7.0
D,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
E,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
F,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
G,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
H,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
I,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
J,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
K,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
L,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
M,1.01-1.09,None,VVS2,EX,EX,GD,-7.0
D,1.01-1.09,None,VS1,EX,EX,GD,-7.0
E,1.01-1.09,None,VS1,EX,EX,GD,-7.0
F,1.01-1.09,None,VS1,EX,EX,GD,-7.0
G,1.01-1.09,None,VS1,EX,EX,GD,-7.0
H,1.01-1.09,None,VS1,EX,EX,GD,-7.0
I,1.01-1.09,None,VS1,EX,EX,GD,-7.0
J,1.01-1.09,None,VS1,EX,EX,GD,-7.0
K,1.01-1.09,None,VS1,EX,EX,GD,-7.0
L,1.01-1.09,None,VS1,EX,EX,GD,-7.0
M,1.01-1.09,None,VS1,EX,EX,GD,-7.0
D,1.01-1.09,None,VS2,EX,EX,GD,-7.0
E,1.01-1.09,None,VS2,EX,EX,GD,-7.0
F,1.01-1.09,None,VS2,EX,EX,GD,-7.0
G,1.01-1.09,None,VS2,EX,EX,GD,-7.0
H,1.01-1.09,None,VS2,EX,EX,GD,-7.0
I,1.01-1.09,None,VS2,EX,EX,GD,-7.0
J,1.01-1.09,None,VS2,EX,EX,GD,-7.0
K,1.01-1.09,None,VS2,EX,EX,GD,-7.0
L,1.01-1.09,None,VS2,EX,EX,GD,-7.0
M,1.01-1.09,None,VS2,EX,EX,GD,-7.0
D,1.01-1.09,None,SI1,EX,EX,GD,-7.0
E,1.01-1.09,None,SI1,EX,EX,GD,-7.0
F,1.01-1.09,None,SI1,EX,EX,GD,-7.0
G,1.01-1.09,None,SI1,EX,EX,GD,-7.0
H,1.01-1.09,None,SI1,EX,EX,GD,-7.0
I,1.01-1.09,None,SI1,EX,EX,GD,-7.0
J,1.01-1.09,None,SI1,EX,EX,GD,-7.0
K,1.01-1.09,None,SI1,EX,EX,GD,-7.0
L,1.01-1.09,None,SI1,EX,EX,GD,-7.0
M,1.01-1.09,None,SI1,EX,EX,GD,-7.0
D,1.01-1.09,None,SI2,EX,EX,GD,-7.0
E,1.01-1.09,None,SI2,EX,EX,GD,-7.0
F,1.01-1.09,None,SI2,EX,EX,GD,-7.0
G,1.01-1.09,None,SI2,EX,EX,GD,-7.0
H,1.01-1.09,None,SI2,EX,EX,GD,-7.0
I,1.01-1.09,None,SI2,EX,EX,GD,-7.0
J,1.01-1.09,None,SI2,EX,EX,GD,-7.0
K,1.01-1.09,None,SI2,EX,EX,GD,-7.0
L,1.01-1.09,None,SI2,EX,EX,GD,-7.0
M,1.01-1.09,None,SI2,EX,EX,GD,-6.0
D,1.01-1.09,None,I1,EX,EX,GD,-7.0
E,1.01-1.09,None,I1,EX,EX,GD,-6.5
F,1.01-1.09,None,I1,EX,EX,GD,-7.0
G,1.01-1.09,None,I1,EX,EX,GD,-6.5
H,1.01-1.09,None,I1,EX,EX,GD,-4.5
I,1.01-1.09,None,I1,EX,EX,GD,-5.5
J,1.01-1.09,None,I1,EX,EX,GD,-7.0
K,1.01-1.09,None,I1,EX,EX,GD,-7.0
L,1.01-1.09,None,I1,EX,EX,GD,-6.5
M,1.01-1.09,None,I1,EX,EX,GD,-5.0
D,1.50-1.69,None,IF,EX,EX,GD,-7.0
E,1.50-1.69,None,IF,EX,EX,GD,-7.0
F,1.50-1.69,None,IF,EX,EX,GD,-7.0
G,1.50-1.69,None,IF,EX,EX,GD,-7.0
H,1.50-1.69,None,IF,EX,EX,GD,-7.0
I,1.50-1.69,None,IF,EX,EX,GD,-5.5
J,1.50-1.69,None,IF,EX,EX,GD,-7.0
K,1.50-1.69,None,IF,EX,EX,GD,-5.0
L,1.50-1.69,None,IF,EX,EX,GD,-4.5
M,1.50-1.69,None,IF,EX,EX,GD,-5.0
D,1.50-1.69,None,VVS1,EX,EX,GD,-7.0
E,1.50-1.69,None,VVS1,EX,EX,GD,-7.0
F,1.50-1.69,None,VVS1,EX,EX,GD,-7.0
G,1.50-1.69,None,VVS1,EX,EX,GD,-7.0
H,1.50-1.69,None,VVS1,EX,EX,GD,-7.0
I,1.50-1.69,None,VVS1,EX,EX,GD,-6.0
