level_0,index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
0,0.0,0.30-0.34,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
1,1.0,0.30-0.34,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
2,2.0,0.30-0.34,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
3,3.0,0.30-0.34,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
4,4.0,0.30-0.34,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
5,5.0,0.30-0.34,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
6,6.0,0.30-0.34,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
7,7.0,0.35-0.39,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
8,8.0,0.35-0.39,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
9,9.0,0.35-0.39,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
10,10.0,0.35-0.39,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
11,11.0,0.35-0.39,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
12,12.0,0.35-0.39,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
13,13.0,0.35-0.39,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
14,14.0,0.40-0.44,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
15,15.0,0.40-0.44,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.5,-4.5,-4.5
16,16.0,0.40-0.44,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.5,-4.5,-4.5
17,17.0,0.40-0.44,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
18,18.0,0.40-0.44,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
19,19.0,0.40-0.44,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
20,20.0,0.40-0.44,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
21,21.0,0.45-0.49,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
22,22.0,0.45-0.49,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
23,23.0,0.45-0.49,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
24,24.0,0.45-0.49,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
25,25.0,0.45-0.49,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
26,26.0,0.45-0.49,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
27,27.0,0.45-0.49,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
28,28.0,0.50-0.59,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
29,29.0,0.50-0.59,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
30,30.0,0.50-0.59,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
31,31.0,0.50-0.59,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
32,32.0,0.50-0.59,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
33,33.0,0.50-0.59,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
34,34.0,0.50-0.59,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
35,35.0,0.60-0.69,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
36,36.0,0.60-0.69,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
