,SHAPE,CLARITY,COLOUR,SIZE_RANGE_MIN,SIZE_RANGE_MAX,RAP,DATE
0,BR,IF,D,0.01,0.03,800, 8/5/2022
1,BR,VVS1,D,0.01,0.03,800, 8/5/2022
2,BR,VVS2,D,0.01,0.03,800, 8/5/2022
3,BR,VS1,D,0.01,0.03,720, 8/5/2022
4,BR,VS2,D,0.01,0.03,720, 8/5/2022
5,BR,SI1,D,0.01,0.03,630, 8/5/2022
6,BR,SI2,D,0.01,0.03,560, 8/5/2022
7,BR,SI3,D,0.01,0.03,470, 8/5/2022
8,BR,I1,D,0.01,0.03,410, 8/5/2022
9,BR,I2,D,0.01,0.03,350, 8/5/2022
10,BR,I3,D,0.01,0.03,280, 8/5/2022
11,BR,IF,E,0.01,0.03,800, 8/5/2022
12,BR,VVS1,E,0.01,0.03,800, 8/5/2022
13,BR,VVS2,E,0.01,0.03,800, 8/5/2022
14,BR,VS1,E,0.01,0.03,720, 8/5/2022
15,BR,VS2,E,0.01,0.03,720, 8/5/2022
16,BR,SI1,E,0.01,0.03,630, 8/5/2022
17,BR,SI2,E,0.01,0.03,560, 8/5/2022
18,BR,SI3,E,0.01,0.03,470, 8/5/2022
19,BR,I1,E,0.01,0.03,410, 8/5/2022
20,BR,I2,E,0.01,0.03,350, 8/5/2022
21,BR,I3,E,0.01,0.03,280, 8/5/2022
22,BR,IF,F,0.01,0.03,800, 8/5/2022
23,BR,VVS1,F,0.01,0.03,800, 8/5/2022
24,BR,VVS2,F,0.01,0.03,800, 8/5/2022
25,BR,VS1,F,0.01,0.03,720, 8/5/2022
26,BR,VS2,F,0.01,0.03,720, 8/5/2022
27,BR,SI1,F,0.01,0.03,630, 8/5/2022
28,BR,SI2,F,0.01,0.03,560, 8/5/2022
29,BR,SI3,F,0.01,0.03,470, 8/5/2022
30,BR,I1,F,0.01,0.03,410, 8/5/2022
31,BR,I2,F,0.01,0.03,350, 8/5/2022
32,BR,I3,F,0.01,0.03,280, 8/5/2022
33,BR,IF,G,0.01,0.03,720, 8/5/2022
34,BR,VVS1,G,0.01,0.03,720, 8/5/2022
35,BR,VVS2,G,0.01,0.03,720, 8/5/2022
36,BR,VS1,G,0.01,0.03,640, 8/5/2022
37,BR,VS2,G,0.01,0.03,640, 8/5/2022
38,BR,SI1,G,0.01,0.03,570, 8/5/2022
39,BR,SI2,G,0.01,0.03,500, 8/5/2022
40,BR,SI3,G,0.01,0.03,430, 8/5/2022
41,BR,I1,G,0.01,0.03,370, 8/5/2022
42,BR,I2,G,0.01,0.03,310, 8/5/2022
43,BR,I3,G,0.01,0.03,260, 8/5/2022
44,BR,IF,H,0.01,0.03,720, 8/5/2022
45,BR,VVS1,H,0.01,0.03,720, 8/5/2022
46,BR,VVS2,H,0.01,0.03,720, 8/5/2022
47,BR,VS1,H,0.01,0.03,640, 8/5/2022
