,SHAPE,CLARITY,COLOUR,SIZE_RANGE_MIN,SIZE_RANGE_MAX,RAP,DATE
0,PS,IF,D,0.18,0.22,1420, 8/5/2022
1,PS,VVS1,D,0.18,0.22,1420, 8/5/2022
2,PS,VVS2,D,0.18,0.22,1420, 8/5/2022
3,PS,VS1,D,0.18,0.22,1210, 8/5/2022
4,PS,VS2,D,0.18,0.22,1210, 8/5/2022
5,PS,SI1,D,0.18,0.22,930, 8/5/2022
6,PS,SI2,D,0.18,0.22,790, 8/5/2022
7,PS,SI3,D,0.18,0.22,680, 8/5/2022
8,PS,I1,D,0.18,0.22,580, 8/5/2022
9,PS,I2,D,0.18,0.22,450, 8/5/2022
10,PS,I3,D,0.18,0.22,360, 8/5/2022
11,PS,IF,E,0.18,0.22,1420, 8/5/2022
12,PS,VVS1,E,0.18,0.22,1420, 8/5/2022
13,PS,VVS2,E,0.18,0.22,1420, 8/5/2022
14,PS,VS1,E,0.18,0.22,1210, 8/5/2022
15,PS,VS2,E,0.18,0.22,1210, 8/5/2022
16,PS,SI1,E,0.18,0.22,930, 8/5/2022
17,PS,SI2,E,0.18,0.22,790, 8/5/2022
18,PS,SI3,E,0.18,0.22,680, 8/5/2022
19,PS,I1,E,0.18,0.22,580, 8/5/2022
20,PS,I2,E,0.18,0.22,450, 8/5/2022
21,PS,I3,E,0.18,0.22,360, 8/5/2022
22,PS,IF,F,0.18,0.22,1420, 8/5/2022
23,PS,VVS1,F,0.18,0.22,1420, 8/5/2022
24,PS,VVS2,F,0.18,0.22,1420, 8/5/2022
25,PS,VS1,F,0.18,0.22,1210, 8/5/2022
26,PS,VS2,F,0.18,0.22,1210, 8/5/2022
27,PS,SI1,F,0.18,0.22,930, 8/5/2022
28,PS,SI2,F,0.18,0.22,790, 8/5/2022
29,PS,SI3,F,0.18,0.22,680, 8/5/2022
30,PS,I1,F,0.18,0.22,580, 8/5/2022
31,PS,I2,F,0.18,0.22,450, 8/5/2022
32,PS,I3,F,0.18,0.22,360, 8/5/2022
33,PS,IF,G,0.18,0.22,1250, 8/5/2022
34,PS,VVS1,G,0.18,0.22,1250, 8/5/2022
35,PS,VVS2,G,0.18,0.22,1250, 8/5/2022
36,PS,VS1,G,0.18,0.22,1060, 8/5/2022
37,PS,VS2,G,0.18,0.22,1060, 8/5/2022
38,PS,SI1,G,0.18,0.22,820, 8/5/2022
39,PS,SI2,G,0.18,0.22,690, 8/5/2022
40,PS,SI3,G,0.18,0.22,600, 8/5/2022
41,PS,I1,G,0.18,0.22,510, 8/5/2022
42,PS,I2,G,0.18,0.22,400, 8/5/2022
43,PS,I3,G,0.18,0.22,320, 8/5/2022
44,PS,IF,H,0.18,0.22,1250, 8/5/2022
45,PS,VVS1,H,0.18,0.22,1250, 8/5/2022
46,PS,VVS2,H,0.18,0.22,1250, 8/5/2022
47,PS,VS1,H,0.18,0.22,1060, 8/5/2022
48,PS,VS2,H,0.18,0.22,1060, 8/5/2022
49,PS,SI1,H,0.18,0.22,820, 8/5/2022
50,PS,SI2,H,0.18,0.22,690, 8/5/2022
51,PS,SI3,H,0.18,0.22,600, 8/5/2022
52,PS,I1,H,0.18,0.22,510, 8/5/2022
53,PS,I2,H,0.18,0.22,400, 8/5/2022
54,PS,I3,H,0.18,0.22,320, 8/5/2022
55,PS,IF,I,0.18,0.22,1000, 8/5/2022
