From,To,1,2,3,4,5,6,7,8,9
1,1,-1.5,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.01,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,1.09,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.1,1.19,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-1.5,-1.5
1.2,1.29,6.0,6.5,5.5,9.0,6.5,7.0,8.0,11.0,5.5
1.3,1.39,9.5,13.5,8.5,13.5,12.0,10.5,14.5,13.0,7.0
1.4,1.49,14.5,21.0,17.5,21.5,20.5,18.0,19.0,20.5,15.0
1.5,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,1.79,5.5,8.0,11.0,7.0,7.5,8.5,8.5,8.0,6.5
1.8,1.89,13.0,15.5,12.0,13.0,14.0,13.5,10.5,12.5,11.5
1.9,1.99,18.0,18.5,15.0,18.0,18.0,17.5,17.0,16.0,17.0
2,2,-2.5,-2.0,-1.0,-2.0,-1.5,0.0,0.0,0.0,0.0
2.01,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,2.24,-2.0,-1.5,-1.0,-1.5,-1.0,0.0,-1.0,0.0,0.0
2.25,2.49,1.0,4.0,5.5,5.5,4.0,4.0,4.0,5.0,4.0
2.5,2.69,16.0,15.0,9.0,16.0,16.0,12.0,16.0,16.0,14.0
2.7,2.79,18.0,16.0,10.0,20.0,19.0,15.0,17.0,17.0,15.0
2.8,2.89,19.0,17.0,11.0,21.0,20.0,16.0,18.0,18.0,16.0
2.9,2.99,20.5,18.0,12.0,22.0,21.0,17.0,21.0,19.0,17.0
