FANCY,VAL
'0.30-0.34','0.30-0.34'
'0.35-0.39','0.35-0.39'
'0.40-0.44','0.40-0.44'
'0.45-0.49','0.45-0.49'
'0.50-0.599','0.50-0.599'
'0.60-0.699','0.60-0.699'
'0.70-0.799','0.70-0.799'
'0.70-0.799','0.70-0.799'
'0.80-0.899','0.80-0.899'
'0.90-0.979','0.90-0.979'
'0.98-0.999','0.98-0.999'
'1.00-1.099','1.00-1.099'
'1.10-1.199','1.10-1.199'
'1.20-1.299','1.20-1.299
'1.30-1.399','1.30-1.399'
'1.40-1.499','1.40-1.499'
'1.50-1.599','1.50-1.599'
'1.60-1.699','1.60-1.699'
'1.70-1.799','1.70-1.799'
'1.80-1.899','1.80-1.899'
'1.90-1.999','1.90-1.999'
'2.00-2.099','2.00-2.099'
'2.10-2.199','2.10-2.199'
'2.20-2.499','2.20-2.499'
'2.50-2.699','2.50-2.699'
'2.70-2.799','2.70-2.799'
'2.80-2.999','2.80-2.999'
'3.0-3.0','2.80-2.999'
'3.01-3.09','3.01-3.09'
'3.10-4.00','3.01-3.09'
'4.01-4.09','4.01-4.09'
'4.10-5.00','4.01-4.09'
'5.01-5.09','5.01-5.09'
'5.10-99999','5.10-99999'
