ROUND,VAL
'0.30-0.34','0.30-0.34'
'0.35-0.39','0.35-0.39'
'0.40-0.44','0.40-0.44'
'0.45-0.49','0.45-0.49'
'0.50-0.59','0.50-0.59'
'0.60-0.69','0.60-0.69'
'0.70-0.74','0.70-0.74'
'0.75-0.79','0.75-0.79'
'0.80-0.89','0.80-0.89'
'0.90-0.94','0.90-0.94'
'0.95-0.99','0.95-0.99'
'1.0-1.0','0.95-0.99'
'1.01-1.09','1.01-1.09'
'1.10-1.49','1.01-1.09'
'1.50-1.69','1.50-1.69'
'1.70-2.00','1.50-1.69'
'2.01-2.09','2.01-2.09'
'2.10-3.00','2.01-2.09'
'3.01-3.09','3.01-3.09'
'3.10-4.00','3.01-3.09'
'4.01-4.09','4.01-4.09'
'4.10-5.00','4.01-4.09'
'5.01-5.09','5.01-5.09'
'5.01-999999.0','5.01-5.09'
