Size,Shape,EX,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
,,EX,,,,,,,
0.50-0.599,PR,0.50-0.599,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
0.50-0.599,PR,D,-34,-31,-33,-32,-32,-36,-32
0.50-0.599,PR,E,-35,-32,-31,-30,-29,-34,-34
0.50-0.599,PR,F,-33,-30,-31,-31,-30,-33,-33
0.50-0.599,PR,G,-32,-29,-28,-27,-28,-32,-32
0.50-0.599,PR,H,-36,-35,-31,-30,-29,-32,-32
0.50-0.599,PR,I,-32,-33,-31,-35,-33,-32,-30
0.50-0.599,PR,J,,,,,,,
0.50-0.599,PR,K,,,,,,,
0.50-0.599,PR,L,,,,,,,
0.50-0.599,PR,M,,,,,,,
,PR,,,,,,,,
0.60-0.699,PR,0.60-0.699,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
0.60-0.699,PR,D,-25,-23,-23,-25,-24,-28,-27
0.60-0.699,PR,E,-23,-20,-20,-21,-20,-23,-23
0.60-0.699,PR,F,-20,-19,-19,-19,-19,-22,-23
0.60-0.699,PR,G,-19,-20,-20,-20,-18,-23,-24
0.60-0.699,PR,H,-22,-20,-20,-20,-20,-22,-25
0.60-0.699,PR,I,-20,-21,-20,-22,-25,-24,-24
0.60-0.699,PR,J,,,,,,,
0.60-0.699,PR,K,,,,,,,
0.60-0.699,PR,L,,,,,,,
0.60-0.699,PR,M,,,,,,,
,PR,,,,,,,,
0.70-0.799,PR,0.70-0.799,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
0.70-0.799,PR,D,-28,-28,-28,-28,-28,-32,-32
0.70-0.799,PR,E,-26,-25,-25,-26,-27,-30,-31
0.70-0.799,PR,F,-27,-24,-26,-25,-25,-29,-30
0.70-0.799,PR,G,-24,-24,-24,-24,-24,-30,-29
0.70-0.799,PR,H,-26,-24,-24,-24,-24,-27,-27
0.70-0.799,PR,I,-25,-24,-22,-23,-24,-28,-27
0.70-0.799,PR,J,,,,,,,
0.70-0.799,PR,K,,,,,,,
0.70-0.799,PR,L,,,,,,,
0.70-0.799,PR,M,,,,,,,
,PR,,,,,,,,
0.80-0.899,PR,0.80-0.899,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
0.80-0.899,PR,D,-21,-18,-22,-21,-21,-24,-27
0.80-0.899,PR,E,-19,-18,-18,-22,-21,-23,-24
0.80-0.899,PR,F,-19,-20,-19,-20,-20,-23,-23
0.80-0.899,PR,G,-22,-19,-19,-19,-19,-25,-23
0.80-0.899,PR,H,-22,-19,-19,-19,-19,-20,-20
0.80-0.899,PR,I,-20,-19,-19,-17,-18,-18,-23
0.80-0.899,PR,J,,,,,,,
0.80-0.899,PR,K,,,,,,,
0.80-0.899,PR,L,,,,,,,
0.80-0.899,PR,M,,,,,,,
,PR,,,,,,,,
0.90-0.979,PR,0.90-0.979,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
0.90-0.979,PR,D,-37,-30,-27,-28,-27,-35,-35
0.90-0.979,PR,E,-32,-29,-27,-25,-26,-34,-33
0.90-0.979,PR,F,-29,-25,-24,-24,-25,-32,-35
0.90-0.979,PR,G,-23,-20,-22,-24,-25,-30,-33
0.90-0.979,PR,H,-30,-29,-27,-27,-26,-31,-32
0.90-0.979,PR,I,-29,-27,-25,-25,-25,-28,-30
0.90-0.979,PR,J,,,,,,,
0.90-0.979,PR,K,,,,,,,
0.90-0.979,PR,L,,,,,,,
0.90-0.979,PR,M,,,,,,,
,PR,,,,,,,,
0.98-0.999,PR,0.98-0.999,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
0.98-0.999,PR,D,-34,-27,-24,-25,-24,-32,-32
0.98-0.999,PR,E,-29,-26,-24,-22,-23,-31,-30
0.98-0.999,PR,F,-26,-22,-21,-21,-22,-29,-32
0.98-0.999,PR,G,-20,-17,-19,-21,-22,-27,-30
0.98-0.999,PR,H,-27,-26,-24,-24,-23,-28,-29
0.98-0.999,PR,I,-26,-24,-22,-22,-22,-25,-27
0.98-0.999,PR,J,,,,,,,
0.98-0.999,PR,K,,,,,,,
0.98-0.999,PR,L,,,,,,,
0.98-0.999,PR,M,,,,,,,
,PR,,,,,,,,
1.00-1.099,PR,1.00-1.099,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.00-1.099,PR,D,-36,-31,-31,-31,-30,-33,-34
1.00-1.099,PR,E,-30,-30,-28,-28,-28,-33,-34
1.00-1.099,PR,F,-29,-28,-27,-25,-26,-32,-33
1.00-1.099,PR,G,-28,-26,-26,-26,-26,-31,-32
1.00-1.099,PR,H,-28,-26,-26,-26,-25,-31,-32
1.00-1.099,PR,I,-26,-26,-26,-26,-25,-30,-31
1.00-1.099,PR,J,-28,-28,-28,-27,-26,-30,-30
